date,district,branch,active_customers,new_connections,festival_indicator,price,stock,refill_bookings
2022-01-01,Coimbatore,Central,171958,960,0,871,13964,16284
2022-01-01,Coimbatore,North,104886,566,0,887,13363,21023
2022-01-01,Coimbatore,South,91090,1785,0,887,4433,10311
2022-01-01,Coimbatore,East,153355,1284,0,821,8396,32480
2022-01-01,Coimbatore,West,180608,574,0,814,2189,24118
2022-01-01,Chennai,Central,216845,4758,0,863,19912,16394
2022-01-01,Chennai,North,119092,3990,0,872,16502,26777
2022-01-01,Chennai,South,191699,700,1,808,4612,28483
2022-01-01,Chennai,East,174358,2656,1,834,16541,40920
2022-01-01,Chennai,West,248193,4043,1,933,12805,18417
2022-01-01,Madurai,Central,102995,1600,1,843,2161,42065
2022-01-01,Madurai,North,149299,3442,0,839,10529,22262
2022-01-01,Madurai,South,59268,4987,0,923,9208,43044
2022-01-01,Madurai,East,101214,3984,0,870,4568,7027
2022-01-01,Madurai,West,183767,1595,0,880,2391,18986
2022-01-01,Trichy,Central,111858,4574,0,840,10392,35535
2022-01-01,Trichy,North,163569,3204,0,861,16039,35818
2022-01-01,Trichy,South,244407,2873,1,900,10110,18773
2022-01-01,Trichy,East,208338,3940,1,941,2206,26518
2022-01-01,Trichy,West,172409,1584,0,895,10755,27403
2022-01-01,Salem,Central,199213,1778,1,835,18198,14914
2022-01-01,Salem,North,143426,3257,1,844,11789,49020
2022-01-01,Salem,South,52693,4991,1,843,18157,47941
2022-01-01,Salem,East,202906,1763,1,891,13494,28776
2022-01-01,Salem,West,211152,1406,0,915,11474,45294
2022-01-02,Coimbatore,Central,239125,4844,0,850,15545,5663
2022-01-02,Coimbatore,North,215838,3545,0,912,15808,44353
2022-01-02,Coimbatore,South,243075,1391,0,929,3636,25080
2022-01-02,Coimbatore,East,143264,798,0,929,16555,5854
2022-01-02,Coimbatore,West,140084,3574,0,852,7791,31309
2022-01-02,Chennai,Central,244806,3610,1,922,14688,30342
2022-01-02,Chennai,North,218229,2427,0,897,2197,28509
2022-01-02,Chennai,South,84698,3682,0,896,11339,25666
2022-01-02,Chennai,East,101663,1894,0,946,3986,35206
2022-01-02,Chennai,West,192483,3011,0,927,4385,16111
2022-01-02,Madurai,Central,87504,1902,0,841,18646,36065
